z_lo,z_hi,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,1373.0,0.766816,0.033688,5000
2.0,2.4,1374.0,0.714689,0.036434,5000
2.0,2.4,1375.0,0.734414,0.03162,5000
2.0,2.4,1376.0,0.683676,0.036551,5000
2.0,2.4,1377.0,0.694852,0.03225,5000
2.0,2.4,1378.0,0.719974,0.031845,5000
2.0,2.4,1379.0,0.694843,0.038102,5000
2.0,2.4,1380.0,0.730964,0.033862,5000
2.0,2.4,1381.0,0.697629,0.037297,5000
2.0,2.4,1382.0,0.695092,0.034579,5000
2.0,2.4,1383.0,0.673829,0.030564,5000
2.0,2.4,1384.0,0.707925,0.037791,5000
2.0,2.4,1385.0,0.719112,0.035598,5000
2.0,2.4,1386.0,0.675832,0.030946,5000
2.0,2.4,1387.0,0.716197,0.03068,5000
2.0,2.4,1388.0,0.695977,0.031453,5000
2.0,2.4,1389.0,0.691305,0.03176,5000
2.0,2.4,1390.0,0.635889,0.031892,5000
2.0,2.4,1391.0,0.645721,0.030984,5000
2.0,2.4,1392.0,0.621687,0.035515,5000
2.0,2.4,1393.0,0.71623,0.040203,5000
2.0,2.4,1394.0,0.675099,0.033832,5000
2.0,2.4,1395.0,0.708932,0.035651,5000
2.0,2.4,1396.0,0.710102,0.032206,5000
2.0,2.4,1397.0,0.680045,0.037316,5000
2.0,2.4,1398.0,0.650778,0.036123,5000
2.0,2.4,1399.0,0.650231,0.034858,5000
2.0,2.4,1400.0,0.728412,0.039625,5000
2.0,2.4,1401.0,0.657683,0.032428,5000
2.0,2.4,1402.0,0.684224,0.034461,5000
2.0,2.4,1403.0,0.743141,0.03084,5000
2.0,2.4,1404.0,0.765487,0.037169,5000
2.0,2.4,1405.0,0.678776,0.030729,5000
2.0,2.4,1406.0,0.755903,0.03065,5000
2.0,2.4,1407.0,0.742898,0.031762,5000
2.0,2.4,1408.0,0.691063,0.032932,5000
2.0,2.4,1409.0,0.709707,0.031254,5000
2.0,2.4,1410.0,0.665903,0.032775,5000
2.0,2.4,1411.0,0.685452,0.036071,5000
2.0,2.4,1412.0,0.715187,0.036604,5000
2.0,2.4,1413.0,0.691011,0.038172,5000
2.0,2.4,1414.0,0.724702,0.032902,5000
2.0,2.4,1415.0,0.664089,0.034449,5000
2.0,2.4,1416.0,0.674758,0.03507,5000
2.0,2.4,1417.0,0.73064,0.029748,5000
2.0,2.4,1418.0,0.642835,0.041674,5000
2.0,2.4,1419.0,0.656337,0.036409,5000
2.0,2.4,1420.0,0.699401,0.02995,5000
2.0,2.4,1421.0,0.66982,0.041614,5000
2.0,2.4,1422.0,0.669647,0.036782,5000
2.0,2.4,1423.0,0.707773,0.034059,5000
2.0,2.4,1424.0,0.70313,0.036926,5000
2.0,2.4,1425.0,0.696227,0.037855,5000
2.0,2.4,1426.0,0.692432,0.033298,5000
2.0,2.4,1427.0,0.643447,0.033518,5000
2.0,2.4,1428.0,0.714991,0.032801,5000
2.0,2.4,1429.0,0.675048,0.034117,5000
2.0,2.4,1430.0,0.708012,0.034777,5000
2.0,2.4,1431.0,0.728781,0.033388,5000
2.0,2.4,1432.0,0.7174,0.033578,5000
2.0,2.4,1433.0,0.714576,0.030346,5000
2.0,2.4,1434.0,0.64984,0.031446,5000
2.0,2.4,1435.0,0.74197,0.03712,5000
2.0,2.4,1436.0,0.706225,0.037652,5000
2.0,2.4,1437.0,0.670713,0.029215,5000
2.0,2.4,1438.0,0.687904,0.029385,5000
2.0,2.4,1439.0,0.697765,0.029689,5000
2.0,2.4,1440.0,0.688767,0.034059,5000
2.0,2.4,1441.0,0.736785,0.035003,5000
2.0,2.4,1442.0,0.752604,0.031833,5000
2.0,2.4,1443.0,0.68509,0.032077,5000
2.0,2.4,1444.0,0.658705,0.029478,5000
2.0,2.4,1445.0,0.671315,0.033244,5000
2.0,2.4,1446.0,0.689071,0.035521,5000
2.0,2.4,1447.0,0.680978,0.030917,5000
2.0,2.4,1448.0,0.717896,0.032866,5000
2.0,2.4,1449.0,0.650195,0.0349,5000
2.0,2.4,1450.0,0.676118,0.029657,5000
2.0,2.4,1451.0,0.641659,0.033771,5000
2.0,2.4,1452.0,0.691269,0.033467,5000
2.0,2.4,1453.0,0.679531,0.030643,5000
2.0,2.4,1454.0,0.700321,0.033522,5000
2.0,2.4,1455.0,0.718284,0.033369,5000
2.0,2.4,1456.0,0.730538,0.033202,5000
2.0,2.4,1457.0,0.660434,0.03141,5000
2.0,2.4,1458.0,0.695286,0.033094,5000
2.0,2.4,1459.0,0.704087,0.031594,5000
2.0,2.4,1460.0,0.66675,0.031477,5000
2.0,2.4,1461.0,0.695757,0.035853,5000
2.0,2.4,1462.0,0.667864,0.034075,5000
2.0,2.4,1463.0,0.668528,0.032359,5000
2.0,2.4,1464.0,0.675651,0.029376,5000
2.0,2.4,1465.0,0.651845,0.030653,5000
2.0,2.4,1466.0,0.676577,0.034857,5000
2.0,2.4,1467.0,0.6567,0.037688,5000
2.0,2.4,1468.0,0.730657,0.033167,5000
2.0,2.4,1469.0,0.722144,0.029618,5000
2.0,2.4,1470.0,0.678465,0.032448,5000
2.0,2.4,1471.0,0.658923,0.033395,5000
2.0,2.4,1472.0,0.629485,0.033982,5000
2.0,2.4,1473.0,0.687202,0.031614,5000
2.0,2.4,1474.0,0.72017,0.030684,5000
2.0,2.4,1475.0,0.670801,0.031959,5000
2.0,2.4,1476.0,0.686572,0.030433,5000
2.0,2.4,1477.0,0.692162,0.032028,5000
2.0,2.4,1478.0,0.626873,0.029114,5000
2.0,2.4,1479.0,0.644688,0.02885,5000
2.0,2.4,1480.0,0.703577,0.035195,5000
2.0,2.4,1481.0,0.707302,0.038258,5000
2.0,2.4,1482.0,0.676043,0.03114,5000
2.0,2.4,1483.0,0.631061,0.028819,5000
2.0,2.4,1484.0,0.658497,0.037116,5000
2.0,2.4,1485.0,0.635858,0.029072,5000
2.0,2.4,1486.0,0.724409,0.032436,5000
2.0,2.4,1487.0,0.694868,0.028678,5000
2.0,2.4,1488.0,0.692503,0.034295,5000
2.0,2.4,1489.0,0.676841,0.030824,5000
2.0,2.4,1490.0,0.689627,0.028491,5000
2.0,2.4,1491.0,0.685174,0.032011,5000
2.0,2.4,1492.0,0.631768,0.031326,5000
2.0,2.4,1493.0,0.666408,0.028501,5000
2.0,2.4,1494.0,0.666957,0.035706,5000
2.0,2.4,1495.0,0.640075,0.031375,5000
2.0,2.4,1496.0,0.644475,0.029333,5000
2.0,2.4,1497.0,0.608694,0.034524,5000
2.0,2.4,1498.0,0.627499,0.032601,5000
2.0,2.4,1499.0,0.673095,0.034994,5000
2.0,2.4,1500.0,0.654933,0.0373,5000
2.0,2.4,1501.0,0.565054,0.028729,5000
2.0,2.4,1502.0,0.675817,0.033567,5000
2.0,2.4,1503.0,0.632732,0.032582,5000
2.0,2.4,1504.0,0.642723,0.033423,5000
2.0,2.4,1505.0,0.666229,0.029091,5000
2.0,2.4,1506.0,0.656534,0.028748,5000
2.0,2.4,1507.0,0.660131,0.029569,5000
2.0,2.4,1508.0,0.611341,0.028061,5000
2.0,2.4,1509.0,0.641653,0.028911,5000
2.0,2.4,1510.0,0.606536,0.028318,5000
2.0,2.4,1511.0,0.575474,0.031108,5000
2.0,2.4,1512.0,0.631209,0.028678,5000
2.0,2.4,1513.0,0.671478,0.032301,5000
2.0,2.4,1514.0,0.657828,0.029231,5000
2.0,2.4,1515.0,0.717276,0.032194,5000
2.0,2.4,1516.0,0.639889,0.03146,5000
2.0,2.4,1517.0,0.666611,0.029735,5000
2.0,2.4,1518.0,0.65092,0.031354,5000
2.0,2.4,1519.0,0.62897,0.02952,5000
2.0,2.4,1520.0,0.620047,0.038525,5000
2.0,2.4,1521.0,0.668413,0.031982,5000
2.0,2.4,1522.0,0.65335,0.03466,5000
2.0,2.4,1523.0,0.622941,0.0353,5000
2.0,2.4,1524.0,0.555479,0.030387,5000
2.0,2.4,1525.0,0.508151,0.031637,5000
2.0,2.4,1526.0,0.570081,0.029923,5000
2.0,2.4,1527.0,0.587596,0.032383,5000
2.0,2.4,1528.0,0.633168,0.027739,5000
2.0,2.4,1529.0,0.619882,0.032054,5000
2.0,2.4,1530.0,0.686033,0.030178,5000
2.0,2.4,1531.0,0.658667,0.035522,5000
2.0,2.4,1532.0,0.696201,0.029066,5000
2.0,2.4,1533.0,0.71808,0.037567,5000
2.0,2.4,1534.0,0.607771,0.028395,5000
2.0,2.4,1535.0,0.649888,0.031815,5000
2.0,2.4,1536.0,0.662957,0.030197,5000
2.0,2.4,1537.0,0.616468,0.027768,5000
2.0,2.4,1538.0,0.588739,0.032718,5000
2.0,2.4,1539.0,0.555418,0.030547,5000
2.0,2.4,1540.0,0.57642,0.037089,5000
