z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,42.0,42.5,42.466,2.2317,1241.0,0.471777,0.136509,445
2.0,2.4,42.0,42.5,42.466,2.2317,1242.0,0.397969,0.169163,445
2.0,2.4,42.0,42.5,42.466,2.2317,1243.0,0.470063,0.176283,445
2.0,2.4,42.0,42.5,42.466,2.2317,1244.0,0.49678,0.185899,445
2.0,2.4,42.0,42.5,42.466,2.2317,1245.0,0.336276,0.179632,445
2.0,2.4,42.0,42.5,42.466,2.2317,1246.0,0.747468,0.255529,445
2.0,2.4,42.0,42.5,42.466,2.2317,1247.0,0.510313,0.15031,445
2.0,2.4,42.0,42.5,42.466,2.2317,1248.0,0.530503,0.170304,445
2.0,2.4,42.0,42.5,42.466,2.2317,1249.0,0.170432,0.165331,445
2.0,2.4,42.0,42.5,42.466,2.2317,1250.0,0.702047,0.259326,445
2.0,2.4,42.0,42.5,42.466,2.2317,1251.0,0.418289,0.16827,445
2.0,2.4,42.0,42.5,42.466,2.2317,1252.0,0.449529,0.218188,445
2.0,2.4,42.0,42.5,42.466,2.2317,1253.0,0.272383,0.177533,445
2.0,2.4,42.0,42.5,42.466,2.2317,1254.0,0.428151,0.221658,445
2.0,2.4,42.0,42.5,42.466,2.2317,1255.0,0.443767,0.156104,445
2.0,2.4,42.0,42.5,42.466,2.2317,1256.0,0.573787,0.14787,445
2.0,2.4,42.0,42.5,42.466,2.2317,1257.0,0.563912,0.17824,445
2.0,2.4,42.0,42.5,42.466,2.2317,1258.0,0.55352,0.160616,445
2.0,2.4,42.0,42.5,42.466,2.2317,1259.0,0.255863,0.16163,445
2.0,2.4,42.0,42.5,42.466,2.2317,1260.0,0.18806,0.177364,445
2.0,2.4,42.0,42.5,42.466,2.2317,1261.0,0.420061,0.163032,445
2.0,2.4,42.0,42.5,42.466,2.2317,1262.0,0.56027,0.172156,445
2.0,2.4,42.0,42.5,42.466,2.2317,1263.0,0.286573,0.164471,445
2.0,2.4,42.0,42.5,42.466,2.2317,1264.0,0.21374,0.157636,445
2.0,2.4,42.0,42.5,42.466,2.2317,1265.0,0.677409,0.214747,445
2.0,2.4,42.0,42.5,42.466,2.2317,1266.0,0.538531,0.181089,445
2.0,2.4,42.0,42.5,42.466,2.2317,1267.0,0.653094,0.174834,445
2.0,2.4,42.0,42.5,42.466,2.2317,1268.0,0.537512,0.152006,445
2.0,2.4,42.0,42.5,42.466,2.2317,1269.0,0.282389,0.161874,445
2.0,2.4,42.0,42.5,42.466,2.2317,1270.0,0.328362,0.170101,445
2.0,2.4,42.0,42.5,42.466,2.2317,1271.0,0.836298,0.192038,445
2.0,2.4,42.0,42.5,42.466,2.2317,1272.0,0.688618,0.154941,445
2.0,2.4,42.0,42.5,42.466,2.2317,1273.0,0.444098,0.14965,445
2.0,2.4,42.0,42.5,42.466,2.2317,1274.0,0.64536,0.184534,445
2.0,2.4,42.0,42.5,42.466,2.2317,1275.0,0.677001,0.201581,445
2.0,2.4,42.0,42.5,42.466,2.2317,1276.0,0.513885,0.156511,445
2.0,2.4,42.0,42.5,42.466,2.2317,1277.0,0.745095,0.177014,445
2.0,2.4,42.0,42.5,42.466,2.2317,1278.0,0.581986,0.165367,445
2.0,2.4,42.0,42.5,42.466,2.2317,1279.0,0.655677,0.141325,445
2.0,2.4,42.0,42.5,42.466,2.2317,1280.0,0.574146,0.147571,445
2.0,2.4,42.0,42.5,42.466,2.2317,1281.0,0.641831,0.176243,445
2.0,2.4,42.0,42.5,42.466,2.2317,1282.0,0.571609,0.178604,445
2.0,2.4,42.0,42.5,42.466,2.2317,1283.0,0.472311,0.161696,445
2.0,2.4,42.0,42.5,42.466,2.2317,1284.0,0.4522,0.156725,445
2.0,2.4,42.0,42.5,42.466,2.2317,1285.0,0.669189,0.168989,445
2.0,2.4,42.0,42.5,42.466,2.2317,1286.0,0.236557,0.145634,445
2.0,2.4,42.0,42.5,42.466,2.2317,1287.0,0.806863,0.16863,445
2.0,2.4,42.0,42.5,42.466,2.2317,1288.0,0.372074,0.161797,445
2.0,2.4,42.0,42.5,42.466,2.2317,1289.0,0.619965,0.192159,445
2.0,2.4,42.0,42.5,42.466,2.2317,1290.0,0.347645,0.156652,445
2.0,2.4,42.0,42.5,42.466,2.2317,1291.0,0.170491,0.171015,445
2.0,2.4,42.0,42.5,42.466,2.2317,1292.0,0.445095,0.149624,445
2.0,2.4,42.0,42.5,42.466,2.2317,1293.0,0.631187,0.178099,445
2.0,2.4,42.0,42.5,42.466,2.2317,1294.0,0.372941,0.138137,445
2.0,2.4,42.0,42.5,42.466,2.2317,1295.0,0.408303,0.131709,445
2.0,2.4,42.0,42.5,42.466,2.2317,1296.0,0.418528,0.155251,445
2.0,2.4,42.0,42.5,42.466,2.2317,1297.0,0.396746,0.144022,445
2.0,2.4,42.0,42.5,42.466,2.2317,1298.0,0.237607,0.145732,445
2.0,2.4,42.0,42.5,42.466,2.2317,1299.0,0.359652,0.135287,445
2.0,2.4,42.0,42.5,42.466,2.2317,1300.0,0.391588,0.196698,445
2.0,2.4,42.0,42.5,42.466,2.2317,1301.0,0.456867,0.178283,445
2.0,2.4,42.0,42.5,42.466,2.2317,1302.0,0.687906,0.177066,445
2.0,2.4,42.0,42.5,42.466,2.2317,1303.0,0.725234,0.198496,445
2.0,2.4,42.0,42.5,42.466,2.2317,1304.0,0.404079,0.152118,445
2.0,2.4,42.0,42.5,42.466,2.2317,1305.0,0.449582,0.155622,445
2.0,2.4,42.0,42.5,42.466,2.2317,1306.0,0.55769,0.146506,445
2.0,2.4,42.0,42.5,42.466,2.2317,1307.0,0.679692,0.17063,445
2.0,2.4,42.0,42.5,42.466,2.2317,1308.0,0.553406,0.169227,445
2.0,2.4,42.0,42.5,42.466,2.2317,1309.0,0.394961,0.172479,445
2.0,2.4,42.0,42.5,42.466,2.2317,1310.0,0.483956,0.130558,445
2.0,2.4,42.0,42.5,42.466,2.2317,1311.0,0.563228,0.13676,445
2.0,2.4,42.0,42.5,42.466,2.2317,1312.0,0.377973,0.161805,445
2.0,2.4,42.0,42.5,42.466,2.2317,1313.0,0.484726,0.169757,445
2.0,2.4,42.0,42.5,42.466,2.2317,1314.0,0.337955,0.151879,445
2.0,2.4,42.0,42.5,42.466,2.2317,1315.0,0.443156,0.20479,445
2.0,2.4,42.0,42.5,42.466,2.2317,1316.0,0.69905,0.141192,445
2.0,2.4,42.0,42.5,42.466,2.2317,1317.0,0.557567,0.177679,445
2.0,2.4,42.0,42.5,42.466,2.2317,1318.0,0.266023,0.148846,445
2.0,2.4,42.0,42.5,42.466,2.2317,1319.0,0.37663,0.161972,445
2.0,2.4,42.0,42.5,42.466,2.2317,1320.0,0.546438,0.146925,445
2.0,2.4,42.0,42.5,42.466,2.2317,1321.0,0.553033,0.129505,445
2.0,2.4,42.0,42.5,42.466,2.2317,1322.0,0.390792,0.131158,445
2.0,2.4,42.0,42.5,42.466,2.2317,1323.0,0.689457,0.132172,445
2.0,2.4,42.0,42.5,42.466,2.2317,1324.0,0.671986,0.176695,445
2.0,2.4,42.0,42.5,42.466,2.2317,1325.0,0.561392,0.141697,445
2.0,2.4,42.0,42.5,42.466,2.2317,1326.0,0.503898,0.125204,445
2.0,2.4,42.0,42.5,42.466,2.2317,1327.0,0.42443,0.15112,445
2.0,2.4,42.0,42.5,42.466,2.2317,1328.0,0.510668,0.170175,445
2.0,2.4,42.0,42.5,42.466,2.2317,1329.0,0.386225,0.151612,445
2.0,2.4,42.0,42.5,42.466,2.2317,1330.0,0.38661,0.125067,445
2.0,2.4,42.0,42.5,42.466,2.2317,1331.0,0.498133,0.148139,445
2.0,2.4,42.0,42.5,42.466,2.2317,1332.0,0.396757,0.124707,445
2.0,2.4,42.0,42.5,42.466,2.2317,1333.0,0.435698,0.14439,445
2.0,2.4,42.0,42.5,42.466,2.2317,1334.0,0.485029,0.146776,445
2.0,2.4,42.0,42.5,42.466,2.2317,1335.0,0.486337,0.15029,445
2.0,2.4,42.0,42.5,42.466,2.2317,1336.0,0.590645,0.137737,445
2.0,2.4,42.0,42.5,42.466,2.2317,1337.0,0.663863,0.132679,445
2.0,2.4,42.0,42.5,42.466,2.2317,1338.0,0.540187,0.154769,445
2.0,2.4,42.0,42.5,42.466,2.2317,1339.0,0.399669,0.176583,445
2.0,2.4,42.0,42.5,42.466,2.2317,1340.0,0.786904,0.168181,445
2.0,2.4,42.0,42.5,42.466,2.2317,1341.0,0.691224,0.174102,445
2.0,2.4,42.0,42.5,42.466,2.2317,1342.0,0.399512,0.130568,445
2.0,2.4,42.0,42.5,42.466,2.2317,1343.0,0.311991,0.138736,445
2.0,2.4,42.0,42.5,42.466,2.2317,1344.0,0.420398,0.163032,445
2.0,2.4,42.0,42.5,42.466,2.2317,1345.0,0.552954,0.150634,445
2.0,2.4,42.0,42.5,42.466,2.2317,1346.0,0.66446,0.147038,445
2.0,2.4,42.0,42.5,42.466,2.2317,1347.0,0.508258,0.178232,445
2.0,2.4,42.0,42.5,42.466,2.2317,1348.0,0.517122,0.155434,445
2.0,2.4,42.0,42.5,42.466,2.2317,1349.0,0.615074,0.137976,445
2.0,2.4,42.0,42.5,42.466,2.2317,1350.0,0.445463,0.148065,445
2.0,2.4,42.0,42.5,42.466,2.2317,1351.0,0.374721,0.127415,445
2.0,2.4,42.0,42.5,42.466,2.2317,1352.0,0.5291,0.137535,445
2.0,2.4,42.0,42.5,42.466,2.2317,1353.0,0.367021,0.127873,445
