Star,Gaia_DR3_ID
HD  43156,3021507018836195072
HD  42945,3019883662933857152
HD  43612,3004603784202177664
HD  44660,3001112972222639488
HD  44422,2999948692488298624
HD  44182,2944369410498302848
V* UZ CMa,2944449365609329664
* del Col,2891816671700460288
HD  43847,5574441218871410944
HD  46277,3434100342003683584
HD  45800,3384255150589547136
V* OW Gem,3369457476429102336
HD  44965,3331264977964582400
HD  45046,3356400226092290560
EM* LkHA  215,3327680844934824192
HD 259264,3327214377127614464
*  77 Ori,3120313707851927296
HD  45258,3116687930820056064
HD  45998,3104329901160610432
V* V723 Mon,3104145904761393408
HD  46206,3006971410695862016
HD  45341,3003301996792359936
HD  45342,3003173246558442752
HD  46060,3002950320574710272
HD  45937,3002015018435235840
HD  45261,3000472231822180352
HD  45695,2951464593392751744
HD  45142,2951371822099316352
HD  45888,2950242795457889792
HD  46410,2950189567922222720
HD  47550,3357810968230100608
HD  46883,3327648546781005696
HD  46885,3130867542009272576
HD  48434,3127680019142800128
HD  48212,3126900538417054848
HD  48717,3127610822930697984
HD  46767,3127009699305118464
HD  46713,3120474545785997184
HD  47511,3126750210262228992
HD  47022,3120605318950834432
HD  47221,3126715889184635904
IRAS 06357+0104,3120610541631279104
2MASS J06445577-0056444,3107351526614743168
HD  46616,3103537565593429760
HD  48235,3105652785447506304
HD  47555,3104098728840621184
HD  48721,3103730289368195584
BD-05  1754,3100681412344578944
HD 295282,3106403820609467136
HD  48809,3100587713338729856
HD  47988,3099651994581118848
HD  48146,3099762461140624000
HD  47490,3002762613324249344
HD  47200,3001844078738558976
HD  46950,3003563057789026176
HD  46579,3001657848959414784
HD  48479,2953432409970275072
HD  48699,2953440621947491200
TYC 5386-1463-1,2952555480727836416
HD  47993,2926691565629257728
HD  47904,2923937220279546624
HD  48240,2923664266517743488
HD  47209,2895423447797265024
HD  48778,5584393620171909760
HD  47475,5569655079115879424
IRAS 06444+0323,3127352403338036992
HD  49451,3129173263312738432
HD  50063,3114049957608043392
HD  49765,3113646922177845376
HD  49502,3113435644146266752
HD  49311,3107193888434315520
HD  50583,3113267796826069376
HD  50844,3112332451726105728
HD  50346,3106268576381579520
HD  50110,3105913365408164864
HD  50170,3106040191498741248
GSC 04800-02237,3107092217968759808
HD  50024,3113343663127306624
TYC 4800-1654-1,3113184921136374784
V* HI Mon,3102528381419183616
TYC 4805-1680-1,3102837309826317312
TYC 4812-4119-1,3099393643709553920
HD  50251,3101138980978726272
HD  50892,3101073560037544832
HD  49843,3099598427749807104
HD  49993,3099594716897931264
HD  50253,3099277610875314944
HD  50979,3100856784450120960
HD  49679,3099136873385371520
HD  49021,3098595050371480320
HD  49348,3098648930741502464
HD  49483,3050354291242867328
BD-09  1690,3050179571971130368
HD  49570,2953068368541590784
HD  51196,3048969525062804864
HD  50561,2949583225921791104
BD-11  1619,2953813184590324608
HD  49088,2949116277075040256
HD  50894,2949396171503748096
HD  51197,2949405139395833216
HD  49183,2927267709722373248
HD  49022,2927209057649389696
HD  49846,2926173936171908480
HD  49485,2922012490816294144
HD  50358,5608583425739238784
HD  50219,5576573790393756416
HD  51315,5559092551944852992
HD  51171,3127984622521528704
HD  51840,3113843700400743808
HD  53175,3112774013023217152
GSC 04801-01914,3112211677246315776
HD  52263,3108934827658489088
HD  53176,3108836180850730112
HD  51508,3102896275438772096
HD  51358,3102654245442179712
HD  51509,3102635244506918912
HD  51646,3101646989710076544
HD 295840,3102654520320089728
HD  53135,3101778346992048128
HD  54056,3107933722322176000
HD  51872,3101679936399371136
HD  53300,3101342596792542464
IRAS 07017-0308,3107895720450337920
HD  51698,3051093575373253888
HD  51360,3051052309327218688
HD  52410,3052758957532263040
HD  53427,3053162650099316864
HD  53483,3052458825217988352
LS  157,3052491054652282368
BD-05  1893,3100992333617691520
HD  52113,3049810995056260608
HD  52772,3049950697451266176
BD-08  1692,3052317572334020224
IRAS 07027-0848,3051472597645488896
HD  52964,3052324169403750784
HD  53621,3051586328378670720
HD  51625,3049148500638985984
HD  52082,3045979987306622848
HD  53396,3045813308217786880
HD  54025,3046208926245479168
HD  52746,3045694767119668096
HD  52162,2949551408804219776
HD  52538,3045638863825908608
V* FM CMa,3044930812698062976
LS  118,2949544158898165120
HD  53692,3044767844458508672
HD  54196,3044567217948372992
IRAS 06572-1252,2949555119654582912
BD-12  1782,3044984310809466368
HD  51426,3049059959893347200
HRW 17,3046033034445913472
HD  51729,2948472783593540736
HD  51876,2947766145514856064
HD  53777,3044525367786248960
HD  54197,3044461733548758784
* gam CMa,2936152657031151232
HD  51481,2935590802285470336
HD  53180,2935462679126867200
HD  53487,2935367189107115648
LS  132,2935699623878335872
BD-18  1672,2934191884200931968
HD  51982,2932798180187865856
HD  53695,2932557391445152128
HD  53037,2928941269505132416
HD  54308,2927782556050426368
HD  52567,2921698923849737088
HD  54825,883343419804216320
HD  55080,883349432758386560
HD  55998,3360417085663661184
HD  56200,3168123703240376448
[KW97] 34-26,3152719334880801920
HD  54596,3114725714882838528
HD  54191,3115942049621543680
HD  55794,3108509454098743168
HD  56690,3060187120647625600
HD  55952,3108084699016348416
HD  55115,3059594449522202368
HD  55683,3060009549521358976
HD  55062,3059392826579621504
HD  54761,3053143752242428928
HD  54280,3053012704199101952
HD  54437,3051727581262990720
HD  56037,3058306543449484928
HD  55239,3052259023337777536
HD  55390,3052259813612536704
HD  56494,3051948681880392832
HD  55012,3051452359759388288
HD  55831,3051868421831500672
HD  56871,3048830780443393152
HD  55290,3059150693502089856
HD  54252,3051247163401382784
HD  54876,3051338079270633600
HD  55311,3051379139158317952
HD  55339,3048130730832140928
HD  56399,3048012675071808000
HD  55419,3047897226350359168
HD  55776,3047870971209399552
HD  56742,3047132790892086400
HD  54284,3044976339350488448
HD  54411,3044664146770344832
IRAS 07068-1321,3044647035620871680
HD  55657,3045552930116983296
HD  56109,3047046719748341120
HD  55136,3045507162945807360
HD  56673,3045202048473359232
BD-12  1820,3045279083005786752
HD  56364,3047027409573401600
IRAS 07152-1039,3047028887042287360
BD-12  1805,3044669506889464320
NGC  2345    14,3044668888417166848
HD  54859,3044593881103275392
HD  54833,3032456818923283200
HD  55691,3032082121671961984
HD  54576,2934572487022547456
HD  55424,2935102451624094720
HD  56952,2931836008736734592
HD  56370,2931697401555439616
HD  56430,2934812421075221248
BD-17  1895,2931774848404980864
HD  54363,2927875086825045888
HD  54551,2927568666677534720
HD  56372,2928150755004573824
HD  56955,5618226658121491200
HD  56576,5618187792948177024
HD  56834,5618023244159264512
