SPT_ID,RA,DEC,XI,THETA_CORE,Y0,Y0_UERR,Y0_LERR,PS_FLAG,REDSHIFT,REDSHIFT_UNC,REDSHIFT_SOURCE,SPECZ,SPECZ_REF,M500C,M500C_UERR,M500C_LERR,LAMBDA,LAMBDA_UNC,FCONT,MCMF_MASK1,MCMF_MASK2,LOS,LAMBDA2,REDSHIFT2,REDSHIFT2_UNC,FCONT2,STRONG_LENS,STRONG_LENS_REF,DUSTY_FLAG
SPT-CL J2331.5-6349.5,352.8952829825544,-63.82508853632156,4.783130060869514,1.0,1.4796599993542619E-5,4.032091748288196E-6,4.432615627391271E-6,0,0.719687,0.03255443904129751,MCMF,0.0,,1.4837044400580957,0.309093017100315,0.27550835604739543,32.0007790930618,6.830730106390151,0.03,0.0,0.009928295642581356,0,,,,,0.0,,0.0
SPT-CL J0239.7-5801.8,39.947224417550856,-58.031230738186764,4.78303726740054,0.75,1.729025633291443E-5,4.015683383260514E-6,4.0156833832605125E-6,0,0.783687,0.03705660074635013,MCMF,0.0,,1.454577844552639,0.2950165988422646,0.26750344805482174,45.518129024966726,8.434876308473752,0.01,0.2,0.12203202650469354,0,,,,,0.0,,0.0
SPT-CL J0213.8-6302.8,33.45769541080757,-63.04705792401331,4.783009734711319,1.25,1.517575958705731E-5,4.018150590595355E-6,4.018573072521243E-6,0,,,,0.0,,,,,,,,0.0,0.020441988950276244,0,,,,,0.0,,0.0
SPT-CL J0231.3-5146.5,37.84035273778377,-51.775776281472524,4.782798384604359,0.25,1.7168846681310344E-5,4.559326338528427E-6,5.771520599353495E-6,0,1.0549999475479126,0.06164999678730965,MCMF,0.0,,1.31058028021448,0.28093255319738586,0.25069015393792915,52.095236017735154,8.032104833902437,0.02,0.0,0.09762824048538334,0,,,,,0.0,,0.0
SPT-CL J2123.1-5139.7,320.7932084460924,-51.66184849830019,4.7824349299060795,0.5,1.4165320745585032E-5,4.393244148088897E-6,5.710284372723272E-6,0,0.723802,0.027512908226206428,MCMF,0.0,,1.4887262591497692,0.30357612267072254,0.2753703142253874,49.054742728071496,7.941363372417299,0.0,0.03956043956043956,0.015444015444015444,0,,,,,0.0,,0.0
SPT-CL J0131.1-4446.3,22.796097790972098,-44.77292380010908,4.781902139857538,0.125,1.1412253962836834E-5,4.624564554515143E-6,5.44916919768535E-6,0,,,,0.0,,,,,,,,0.002207505518763797,0.00550357732526142,0,,,,,0.0,,0.0
SPT-CL J0204.5-6317.7,31.130815836545093,-63.29592118682208,4.781866967969115,1.25,1.288768820284527E-5,4.127513052452461E-6,3.983603156354852E-6,0,1.056467,0.0965414119683104,MCMF,0.0,,1.3099017674303821,0.27597038919021566,0.2469443134800804,26.102376178328413,9.219339421656016,0.07,0.0,0.00717835450027609,0,,,,,0.0,,0.0
SPT-CL J0306.0-5204.3,46.505622276816204,-52.0728312868957,4.781033856186878,0.125,1.5409536977646045E-5,4.6262567289362355E-6,5.547955223929411E-6,2,,,,0.0,,,,,,,,0.0,0.0,0,,,,,0.0,,0.0
SPT-CL J2057.3-5442.3,314.3388998296148,-54.705965477399616,4.780458012088623,0.75,1.5173825252352701E-5,4.0121458457743646E-6,4.046000604553005E-6,0,0.70444,0.028457515064824787,MCMF,0.0,,1.4963183065732761,0.3105313276793753,0.277953216916216,44.954098494605795,8.265077406841439,0.0,0.0066518847006651885,0.004964147821290678,0,,,,,0.0,,0.0
SPT-CL J0305.9-6851.7,46.496279991862814,-68.86247001071222,4.77973458200838,1.0,1.368607442274724E-5,4.052621735766562E-6,3.9935911547228165E-6,0,0.637337,0.019527819298857375,MCMF,0.0,,1.5332270217410844,0.3139256533294936,0.2889117185411163,62.3697515609265,8.890818496094223,0.0,0.0,0.018826135105204873,0,,,,,0.0,,0.0
